Preprocessed_Sloka,Tokenss
शीलं प्रधानं पुरुषे तद् यस्येह प्रणश्यति। न तस्य जीवितेनार्थो न धनेन न बन्धुभिः ॥,"['शीलं', 'प्रधानं', 'पुरुषे', 'तद्', 'यस्येह', 'प्रणश्यति।', 'न', 'तस्य', 'जीवितेनार्थो', 'न', 'धनेन', 'न', 'बन्धुभिः', '॥']"
परोक्षे कार्यहन्तारं प्रत्यक्षे प्रियवादिनम्। वर्जयेत्तादृशं मित्रं विषकुम्भं पयोमुखम् ॥,"['परोक्षे', 'कार्यहन्तारं', 'प्रत्यक्षे', 'प्रियवादिनम्।', 'वर्जयेत्तादृशं', 'मित्रं', 'विषकुम्भं', 'पयोमुखम्', '॥']"
जननी जन्मभूमुश्च स्वर्गादपि गरीयसी ॥,"['जननी', 'जन्मभूमुश्च', 'स्वर्गादपि', 'गरीयसी', '॥']"
सोऽस्य दोषो न मन्तव्यः क्षमा हि परमं बलम्। क्षमा गुणों ह्यशक्तानां शक्तानां भूषणं क्षमा ॥,"['सोऽस्य', 'दोषो', 'न', 'मन्तव्यः', 'क्षमा', 'हि', 'परमं', 'बलम्।', 'क्षमा', 'गुणों', 'ह्यशक्तानां', 'शक्तानां', 'भूषणं', 'क्षमा', '॥']"
य ईर्षुः परवित्तेषु रुपे वीर्ये कुलान्वये । सुखसौभाग्यसत्कारे तस्य व्याधिरनन्तकः ॥,"['य', 'ईर्षुः', 'परवित्तेषु', 'रुपे', 'वीर्ये', 'कुलान्वये', '।', 'सुखसौभाग्यसत्कारे', 'तस्य', 'व्याधिरनन्तकः', '॥']"
दानेन पाणिर्न तु कङ्कणेन स्नानेन शुद्धिर्न तु चन्दनेन । मानेन तृप्तिर्न तु भोजनेन ज्ञानेन मुक्तिर्न तु मण्डनेन॥,"['दानेन', 'पाणिर्न', 'तु', 'कङ्कणेन', 'स्नानेन', 'शुद्धिर्न', 'तु', 'चन्दनेन', '।', 'मानेन', 'तृप्तिर्न', 'तु', 'भोजनेन', 'ज्ञानेन', 'मुक्तिर्न', 'तु', 'मण्डनेन॥']"
यो नोद्धतं कुरुते जातु वेषं न पौरुषेणापि विकत्थतेऽन्त्यान्। न मूर्च्छितः कटुकान्याह किञ्चित् प्रियंसदा तं कुरुते जनो हि ॥,"['यो', 'नोद्धतं', 'कुरुते', 'जातु', 'वेषं', 'न', 'पौरुषेणापि', 'विकत्थतेऽन्त्यान्।', 'न', 'मूर्च्छितः', 'कटुकान्याह', 'किञ्चित्', 'प्रियंसदा', 'तं', 'कुरुते', 'जनो', 'हि', '॥']"
लालयेत् पंचवर्षाणि दशवर्षाणि ताडयेत्। प्राप्ते तु षोडशे वर्षे पुत्रं मित्रवदाचरेत्॥,"['लालयेत्', 'पंचवर्षाणि', 'दशवर्षाणि', 'ताडयेत्।', 'प्राप्ते', 'तु', 'षोडशे', 'वर्षे', 'पुत्रं', 'मित्रवदाचरेत्॥']"
माता यस्य गृहे नास्ति भार्या चाप्रियवादिनी। अरण्यं तेन गन्तव्यं यथारण्यं तथा गृहम् ॥,"['माता', 'यस्य', 'गृहे', 'नास्ति', 'भार्या', 'चाप्रियवादिनी।', 'अरण्यं', 'तेन', 'गन्तव्यं', 'यथारण्यं', 'तथा', 'गृहम्', '॥']"
तादृशी जायते बुद्धिर्व्यवसायोऽपि तादृशः। सहायास्तादृशा एव यादृशी भवितव्यता॥,"['तादृशी', 'जायते', 'बुद्धिर्व्यवसायोऽपि', 'तादृशः।', 'सहायास्तादृशा', 'एव', 'यादृशी', 'भवितव्यता॥']"
कुतो विद्यार्थिनः सुखम् ॥,"['कुतो', 'विद्यार्थिनः', 'सुखम्', '॥']"
सन्तोषामृततृप्तानां यत्सुखं शान्तिरेव च। न च तद्धनलुब्धानामितश्चेतश्च धावाताम्॥,"['सन्तोषामृततृप्तानां', 'यत्सुखं', 'शान्तिरेव', 'च।', 'न', 'च', 'तद्धनलुब्धानामितश्चेतश्च', 'धावाताम्॥']"
स्वजनं तर्पयित्वा यः शेषभोजी सोऽमृतभोजी ॥,"['स्वजनं', 'तर्पयित्वा', 'यः', 'शेषभोजी', 'सोऽमृतभोजी', '॥']"
यस्य कृत्यं न विघ्नन्ति शीतमुष्णं भयं रतिः । समृद्धिरसमृद्धिर्वा स वै पण्डित उच्यते ॥,"['यस्य', 'कृत्यं', 'न', 'विघ्नन्ति', 'शीतमुष्णं', 'भयं', 'रतिः', '।', 'समृद्धिरसमृद्धिर्वा', 'स', 'वै', 'पण्डित', 'उच्यते', '॥']"
गुणैरुत्तमतां यान्ति नोच्चैरासनसंस्थितैः । प्रसादशिखरस्थोऽपि किं काको गरुडायते ॥,"['गुणैरुत्तमतां', 'यान्ति', 'नोच्चैरासनसंस्थितैः', '।', 'प्रसादशिखरस्थोऽपि', 'किं', 'काको', 'गरुडायते', '॥']"
रङ्कं करोति राजानं राजानं रङ्कमेव च। धनिनं निर्धनं चैव निर्धनं धनिनं विधिः॥,"['रङ्कं', 'करोति', 'राजानं', 'राजानं', 'रङ्कमेव', 'च।', 'धनिनं', 'निर्धनं', 'चैव', 'निर्धनं', 'धनिनं', 'विधिः॥']"
उपायेन हि यच्छक्यं तन्न शक्यं पराक्रमैः ॥,"['उपायेन', 'हि', 'यच्छक्यं', 'तन्न', 'शक्यं', 'पराक्रमैः', '॥']"
सत्येन धार्यते पृथ्वी सत्येन तपते रविः। सत्येन वाति वायुश्च सर्वं सत्ये प्रतिष्ठितम्॥,"['सत्येन', 'धार्यते', 'पृथ्वी', 'सत्येन', 'तपते', 'रविः।', 'सत्येन', 'वाति', 'वायुश्च', 'सर्वं', 'सत्ये', 'प्रतिष्ठितम्॥']"
नैनं छन्दांसि वृजनात् तारयन्ति मायाविंन मायया वर्तमानम्। नीडं शकुन्ता इव जातपक्षाश्छन्दांस्येनं प्रजहत्यन्तकाले ॥,"['नैनं', 'छन्दांसि', 'वृजनात्', 'तारयन्ति', 'मायाविंन', 'मायया', 'वर्तमानम्।', 'नीडं', 'शकुन्ता', 'इव', 'जातपक्षाश्छन्दांस्येनं', 'प्रजहत्यन्तकाले', '॥']"
नान्नोदकसमं दानं न तिथिर्द्वादशी समा । न गायत्र्याः परो मन्त्रो न मातुर्दैवतं परम् ॥,"['नान्नोदकसमं', 'दानं', 'न', 'तिथिर्द्वादशी', 'समा', '।', 'न', 'गायत्र्याः', 'परो', 'मन्त्रो', 'न', 'मातुर्दैवतं', 'परम्', '॥']"
नास्त्यप्राप्यं सत्यवताम् ॥,"['नास्त्यप्राप्यं', 'सत्यवताम्', '॥']"
बलवन्तो हि अनियमाः नियमा दुर्बलीयसाम् ॥,"['बलवन्तो', 'हि', 'अनियमाः', 'नियमा', 'दुर्बलीयसाम्', '॥']"
कार्यार्थिनामुपाय एव सहायः ॥,"['कार्यार्थिनामुपाय', 'एव', 'सहायः', '॥']"
चत्वारि ते तात गृहे वसन्तु श्रियाभिजुष्टस्य गृहस्थधर्मे । वृद्धो ज्ञातिरवसत्रः कुलीनः सखा दरिद्रो भगिनी चानपत्या ॥,"['चत्वारि', 'ते', 'तात', 'गृहे', 'वसन्तु', 'श्रियाभिजुष्टस्य', 'गृहस्थधर्मे', '।', 'वृद्धो', 'ज्ञातिरवसत्रः', 'कुलीनः', 'सखा', 'दरिद्रो', 'भगिनी', 'चानपत्या', '॥']"
द्वविमौ ग्रसते भूमिः सर्पो बिलशयानिवं। राजानं चाविरोद्धारं ब्राह्मणं चाप्रवासिनम् ॥,"['द्वविमौ', 'ग्रसते', 'भूमिः', 'सर्पो', 'बिलशयानिवं।', 'राजानं', 'चाविरोद्धारं', 'ब्राह्मणं', 'चाप्रवासिनम्', '॥']"
काष्ठपाषाण धातुनां कृत्वा भावेन सेवनम्। श्रद्धया च तथा सिद्धिस्तस्य विष्णोः प्रसादतः॥,"['काष्ठपाषाण', 'धातुनां', 'कृत्वा', 'भावेन', 'सेवनम्।', 'श्रद्धया', 'च', 'तथा', 'सिद्धिस्तस्य', 'विष्णोः', 'प्रसादतः॥']"
दर्शनध्यानसंस्पर्शैर्मत्स्यी कूर्मी च पक्षिणि। शिशु पालयते नित्यं तथा सज्जनसंगतिः॥,"['दर्शनध्यानसंस्पर्शैर्मत्स्यी', 'कूर्मी', 'च', 'पक्षिणि।', 'शिशु', 'पालयते', 'नित्यं', 'तथा', 'सज्जनसंगतिः॥']"
लुब्धमर्थेन गृह्णीयात्स्तब्धमञ्जलिकर्मणा। मूर्खश्छन्दानुरोधेन यथार्थवादेन पण्डितम्॥,"['लुब्धमर्थेन', 'गृह्णीयात्स्तब्धमञ्जलिकर्मणा।', 'मूर्खश्छन्दानुरोधेन', 'यथार्थवादेन', 'पण्डितम्॥']"
पंचेन्द्रियस्य मर्त्यस्य छिद्रं चेदेकमिन्द्रियम् । ततोऽस्य स्त्रवति प्रज्ञा दृतेः पात्रादिवोदकम् ॥,"['पंचेन्द्रियस्य', 'मर्त्यस्य', 'छिद्रं', 'चेदेकमिन्द्रियम्', '।', 'ततोऽस्य', 'स्त्रवति', 'प्रज्ञा', 'दृतेः', 'पात्रादिवोदकम्', '॥']"
कस्य दोषः कुले नास्ति व्याधिना को न पीडितः। व्यसनं केन न प्राप्तं कस्य सौख्यं निरन्तरम् ॥,"['कस्य', 'दोषः', 'कुले', 'नास्ति', 'व्याधिना', 'को', 'न', 'पीडितः।', 'व्यसनं', 'केन', 'न', 'प्राप्तं', 'कस्य', 'सौख्यं', 'निरन्तरम्', '॥']"
कामधेनुगुणा विद्या ह्ययकाले फलदायिनी। प्रवासे मातृसदृशा विद्या गुप्तं धनं स्मृतम्॥,"['कामधेनुगुणा', 'विद्या', 'ह्ययकाले', 'फलदायिनी।', 'प्रवासे', 'मातृसदृशा', 'विद्या', 'गुप्तं', 'धनं', 'स्मृतम्॥']"
बन्धन्य विषयासङ्गः मुक्त्यै निर्विषयं मनः। मन एव मनुष्याणां कारणं बन्धमोक्षयोः॥,"['बन्धन्य', 'विषयासङ्गः', 'मुक्त्यै', 'निर्विषयं', 'मनः।', 'मन', 'एव', 'मनुष्याणां', 'कारणं', 'बन्धमोक्षयोः॥']"
जीवन्तं मृतवन्मन्ये देहिनं धर्मवर्जितम्। मृतो धर्मेण संयुक्तो दीर्घजीवी न संशयः॥,"['जीवन्तं', 'मृतवन्मन्ये', 'देहिनं', 'धर्मवर्जितम्।', 'मृतो', 'धर्मेण', 'संयुक्तो', 'दीर्घजीवी', 'न', 'संशयः॥']"
मनः शीघ्रतरं बातात् ॥,"['मनः', 'शीघ्रतरं', 'बातात्', '॥']"
शब्दमात्रात् न भीतव्यम् ॥,"['शब्दमात्रात्', 'न', 'भीतव्यम्', '॥']"
शत्रवोऽपि हितायैव विवदन्तः परस्परम् ॥,"['शत्रवोऽपि', 'हितायैव', 'विवदन्तः', 'परस्परम्', '॥']"
छात्रैः परिश्रमेण पठितव्यम् ॥,"['छात्रैः', 'परिश्रमेण', 'पठितव्यम्', '॥']"
प्राप्नोति वै वित्तमसद्बलेन नित्योत्त्थानात् प्रज्ञया पौरुषेण। न त्वेव सम्यग् लभते प्रशंसां न वृत्तमाप्नोति महाकुलानाम् ॥,"['प्राप्नोति', 'वै', 'वित्तमसद्बलेन', 'नित्योत्त्थानात्', 'प्रज्ञया', 'पौरुषेण।', 'न', 'त्वेव', 'सम्यग्', 'लभते', 'प्रशंसां', 'न', 'वृत्तमाप्नोति', 'महाकुलानाम्', '॥']"
मनसा चिन्तितं कार्यं वाचा नैव प्रकाशयेत्। मन्त्रेण रक्षयेद् गूढं कार्य चापि नियोजयेत् ॥,"['मनसा', 'चिन्तितं', 'कार्यं', 'वाचा', 'नैव', 'प्रकाशयेत्।', 'मन्त्रेण', 'रक्षयेद्', 'गूढं', 'कार्य', 'चापि', 'नियोजयेत्', '॥']"
आक्रोशपरिवादाभ्यां विहिंसन्त्यबुधा बुधान्। वक्ता पापमुपादत्ते क्षममाणो विमुच्यते ॥,"['आक्रोशपरिवादाभ्यां', 'विहिंसन्त्यबुधा', 'बुधान्।', 'वक्ता', 'पापमुपादत्ते', 'क्षममाणो', 'विमुच्यते', '॥']"
गतानुगतिको लोकः न लोक़ः पारमार्थिकः ॥,"['गतानुगतिको', 'लोकः', 'न', 'लोक़ः', 'पारमार्थिकः', '॥']"
मातृवत् परदारेषु परद्रव्याणि लोष्ठवत्। आत्मवत् सर्वभूतानि यः पश्यति सः पण्डितः॥,"['मातृवत्', 'परदारेषु', 'परद्रव्याणि', 'लोष्ठवत्।', 'आत्मवत्', 'सर्वभूतानि', 'यः', 'पश्यति', 'सः', 'पण्डितः॥']"
असमाहितस्य वृतिनर विद्यते ॥,"['असमाहितस्य', 'वृतिनर', 'विद्यते', '॥']"
नव्यसनपरस्य कार्यावाप्तिः ॥,"['नव्यसनपरस्य', 'कार्यावाप्तिः', '॥']"
अस्तयभाषणं पापं वर्तते ॥,"['अस्तयभाषणं', 'पापं', 'वर्तते', '॥']"
प्रियवाक्यप्रदानेन सर्वे तुष्यन्ति मानवाः । तस्मात् तदेव वक्तव्यं वचने का दरिद्रता ॥,"['प्रियवाक्यप्रदानेन', 'सर्वे', 'तुष्यन्ति', 'मानवाः', '।', 'तस्मात्', 'तदेव', 'वक्तव्यं', 'वचने', 'का', 'दरिद्रता', '॥']"
पितरि प्रीतिमापन्ने प्रीयन्ते सर्वदेवताः ॥,"['पितरि', 'प्रीतिमापन्ने', 'प्रीयन्ते', 'सर्वदेवताः', '॥']"
अनिर्वेदः श्रियो मूलं लाभस्य च शुभस्य च। महान् भवत्यनिर्विण्णः सुखं चानन्त्यमश्नुते ॥,"['अनिर्वेदः', 'श्रियो', 'मूलं', 'लाभस्य', 'च', 'शुभस्य', 'च।', 'महान्', 'भवत्यनिर्विण्णः', 'सुखं', 'चानन्त्यमश्नुते', '॥']"
अकार्यकरणाद् भीतः कार्याणान्च विवर्जनात् । अकाले मन्त्रभेदाच्च येन माद्देन्न तत् पिबेत् ॥,"['अकार्यकरणाद्', 'भीतः', 'कार्याणान्च', 'विवर्जनात्', '।', 'अकाले', 'मन्त्रभेदाच्च', 'येन', 'माद्देन्न', 'तत्', 'पिबेत्', '॥']"
मूर्खाः यत्र न पूज्यन्ते धान्यं यत्र सुसंचितम् । दाम्पत्योः कलहो नास्ति तत्र श्री स्वयमागता॥,"['मूर्खाः', 'यत्र', 'न', 'पूज्यन्ते', 'धान्यं', 'यत्र', 'सुसंचितम्', '।', 'दाम्पत्योः', 'कलहो', 'नास्ति', 'तत्र', 'श्री', 'स्वयमागता॥']"
यस्य चित्तं द्रवीभूतं कृपया सर्वजन्तुषु । तस्य ज्ञानेन मोक्षेण किं जटा भसमलेपनैः॥,"['यस्य', 'चित्तं', 'द्रवीभूतं', 'कृपया', 'सर्वजन्तुषु', '।', 'तस्य', 'ज्ञानेन', 'मोक्षेण', 'किं', 'जटा', 'भसमलेपनैः॥']"
कुराजराज्येन कृतः प्रजासुखं कुमित्रमित्रेण कुतोऽभिनिवृत्तिः। कुदारदारैश्च कुतो गृहे रतिः कृशिष्यमध्यापयतः कुतो यशः॥,"['कुराजराज्येन', 'कृतः', 'प्रजासुखं', 'कुमित्रमित्रेण', 'कुतोऽभिनिवृत्तिः।', 'कुदारदारैश्च', 'कुतो', 'गृहे', 'रतिः', 'कृशिष्यमध्यापयतः', 'कुतो', 'यशः॥']"
न संसार भयं ज्ञानवताम् ॥,"['न', 'संसार', 'भयं', 'ज्ञानवताम्', '॥']"
किं किं न साधयति कल्पलतेव विद्या ॥,"['किं', 'किं', 'न', 'साधयति', 'कल्पलतेव', 'विद्या', '॥']"
सुखार्थिनः कुतो विद्या नास्ति विद्यार्थिनः सुखम्। सुखार्थी वा त्यजेत् विद्यां विद्यार्थी वा त्यजेत् सुखम्॥,"['सुखार्थिनः', 'कुतो', 'विद्या', 'नास्ति', 'विद्यार्थिनः', 'सुखम्।', 'सुखार्थी', 'वा', 'त्यजेत्', 'विद्यां', 'विद्यार्थी', 'वा', 'त्यजेत्', 'सुखम्॥']"
गुरुरग्निर्द्विजातीनां वर्णानां ब्राह्मणो गुरुः। पतिरेव गुरुः स्त्रीणां सर्वस्याभ्यगतो गुरुः॥,"['गुरुरग्निर्द्विजातीनां', 'वर्णानां', 'ब्राह्मणो', 'गुरुः।', 'पतिरेव', 'गुरुः', 'स्त्रीणां', 'सर्वस्याभ्यगतो', 'गुरुः॥']"
न निर्मिता केन न दृष्टपूर्वा न श्रूयते हेममयी कुरङ्गी । तथाऽपि तृष्णा रघुनन्दनस्य विनाशकाले विपरीतबुद्धिः॥,"['न', 'निर्मिता', 'केन', 'न', 'दृष्टपूर्वा', 'न', 'श्रूयते', 'हेममयी', 'कुरङ्गी', '।', 'तथाऽपि', 'तृष्णा', 'रघुनन्दनस्य', 'विनाशकाले', 'विपरीतबुद्धिः॥']"
यस्य बुद्धिर्बलं तस्य निर्बुद्धेस्तु कुतो बलम् ॥,"['यस्य', 'बुद्धिर्बलं', 'तस्य', 'निर्बुद्धेस्तु', 'कुतो', 'बलम्', '॥']"
राजा राष्ट्रकृतं पापं राज्ञः पापं पुरोहितः। भर्ता च स्त्रीकृतं पापं शिष्य पाप गुरुस्तथा॥,"['राजा', 'राष्ट्रकृतं', 'पापं', 'राज्ञः', 'पापं', 'पुरोहितः।', 'भर्ता', 'च', 'स्त्रीकृतं', 'पापं', 'शिष्य', 'पाप', 'गुरुस्तथा॥']"
आत्मज्ञानं समारम्भः तितिक्षा धर्मनित्यता । यमर्थान्नापकर्षन्ति स वै पण्डित उच्यते ॥,"['आत्मज्ञानं', 'समारम्भः', 'तितिक्षा', 'धर्मनित्यता', '।', 'यमर्थान्नापकर्षन्ति', 'स', 'वै', 'पण्डित', 'उच्यते', '॥']"
सर्वे चण्डस्य विभ्यति ॥,"['सर्वे', 'चण्डस्य', 'विभ्यति', '॥']"
आर्यकर्मणि रज्यन्ते भूतिकर्माणि कुर्वते। हितं च नाभ्यसूयन्ति पण्डिता भरतर्षभ ॥,"['आर्यकर्मणि', 'रज्यन्ते', 'भूतिकर्माणि', 'कुर्वते।', 'हितं', 'च', 'नाभ्यसूयन्ति', 'पण्डिता', 'भरतर्षभ', '॥']"
न हृष्यत्यात्मसम्माने नावमानेन तप्यते। गाङ्गो ह्रद ईवाक्षोभ्यो यः स पण्डित उच्यते ॥,"['न', 'हृष्यत्यात्मसम्माने', 'नावमानेन', 'तप्यते।', 'गाङ्गो', 'ह्रद', 'ईवाक्षोभ्यो', 'यः', 'स', 'पण्डित', 'उच्यते', '॥']"
बह्वाश्र्चर्या हि मेदनी ॥,"['बह्वाश्र्चर्या', 'हि', 'मेदनी', '॥']"
तावद् भयेषु भेतव्यं यावद्भयमनागतम्। आगतं तु भयं दृष्टवा प्रहर्तव्यमशङ्कया॥,"['तावद्', 'भयेषु', 'भेतव्यं', 'यावद्भयमनागतम्।', 'आगतं', 'तु', 'भयं', 'दृष्टवा', 'प्रहर्तव्यमशङ्कया॥']"
दुर्जनेषु च सर्पेषु वरं सर्पो न दुर्जनः। सर्पो दंशति कालेन दुर्जनस्तु पदेपदे ॥,"['दुर्जनेषु', 'च', 'सर्पेषु', 'वरं', 'सर्पो', 'न', 'दुर्जनः।', 'सर्पो', 'दंशति', 'कालेन', 'दुर्जनस्तु', 'पदेपदे', '॥']"
नाक्रोशी स्यात्रावमानी परस्य मित्रद्रोही नोत निचोपसेवी। न चाभिमानी न च हीनवृत्तों रुक्षां वाचं रुषतीं वर्जयीत॥,"['नाक्रोशी', 'स्यात्रावमानी', 'परस्य', 'मित्रद्रोही', 'नोत', 'निचोपसेवी।', 'न', 'चाभिमानी', 'न', 'च', 'हीनवृत्तों', 'रुक्षां', 'वाचं', 'रुषतीं', 'वर्जयीत॥']"
स्वमर्थं यः परित्यज्य परार्थमनुतिष्ठति। मिथ्या चरति मित्रार्थे यश्च मूढः स उच्यते ॥,"['स्वमर्थं', 'यः', 'परित्यज्य', 'परार्थमनुतिष्ठति।', 'मिथ्या', 'चरति', 'मित्रार्थे', 'यश्च', 'मूढः', 'स', 'उच्यते', '॥']"
रोहते सायकैर्विद्धं वनं परशुना हतम्। वाचा दुरुक्तं बीभत्सं न संरोहति वाक्क्षतम् ॥,"['रोहते', 'सायकैर्विद्धं', 'वनं', 'परशुना', 'हतम्।', 'वाचा', 'दुरुक्तं', 'बीभत्सं', 'न', 'संरोहति', 'वाक्क्षतम्', '॥']"
लालनाद् बहवो दोषास्ताडनाद् बहवो गुणाः। तस्मात्पुत्रं च शिष्यं च ताडयेन्न तु लालयेत् ॥,"['लालनाद्', 'बहवो', 'दोषास्ताडनाद्', 'बहवो', 'गुणाः।', 'तस्मात्पुत्रं', 'च', 'शिष्यं', 'च', 'ताडयेन्न', 'तु', 'लालयेत्', '॥']"
एक पापानि कुरुते फलं भुङ्क्ते महाजन। भोक्तारो विप्रमुच्यन्ते कर्ता दोषेण लिप्यते ॥,"['एक', 'पापानि', 'कुरुते', 'फलं', 'भुङ्क्ते', 'महाजन।', 'भोक्तारो', 'विप्रमुच्यन्ते', 'कर्ता', 'दोषेण', 'लिप्यते', '॥']"
देहाभिमानगलिते ज्ञानेन परमात्मनः। यत्र यत्र मनो याति तत्र तत्र समाधयः॥,"['देहाभिमानगलिते', 'ज्ञानेन', 'परमात्मनः।', 'यत्र', 'यत्र', 'मनो', 'याति', 'तत्र', 'तत्र', 'समाधयः॥']"
सिंहादेकं बकादेकं शिक्षेच्चत्वारि कुक्कुटात्। वायसात्पञ्च शिक्षेच्च षट् शुनस्त्रीणि गर्दभात्॥,"['सिंहादेकं', 'बकादेकं', 'शिक्षेच्चत्वारि', 'कुक्कुटात्।', 'वायसात्पञ्च', 'शिक्षेच्च', 'षट्', 'शुनस्त्रीणि', 'गर्दभात्॥']"
कुपुत्रो जायेत क्वचिदपि कुमाता न भवति ॥,"['कुपुत्रो', 'जायेत', 'क्वचिदपि', 'कुमाता', 'न', 'भवति', '॥']"
किन्नु मे स्यादिदं कृत्वा किन्नु मे स्यादकुर्वतः । इति कर्माणि सञ्चिन्त्य कुरयड् कुर्याद् वा पुरुषो न वा॥,"['किन्नु', 'मे', 'स्यादिदं', 'कृत्वा', 'किन्नु', 'मे', 'स्यादकुर्वतः', '।', 'इति', 'कर्माणि', 'सञ्चिन्त्य', 'कुरयड्', 'कुर्याद्', 'वा', 'पुरुषो', 'न', 'वा॥']"
प्रायेण श्रीमतां लोके भोक्तुं शक्तिर्न विद्यते। जीर्यन्त्यपि हि काष्ठानि दरिद्राणां महीपते ॥,"['प्रायेण', 'श्रीमतां', 'लोके', 'भोक्तुं', 'शक्तिर्न', 'विद्यते।', 'जीर्यन्त्यपि', 'हि', 'काष्ठानि', 'दरिद्राणां', 'महीपते', '॥']"
अनागतं यः कुरुते स शोभते ॥,"['अनागतं', 'यः', 'कुरुते', 'स', 'शोभते', '॥']"
सेवाधर्मः परमगहनो ॥,"['सेवाधर्मः', 'परमगहनो', '॥']"
एकमेवाक्षरं यस्तु गुरुः शिष्यं प्रबोधयेत् । पृथिव्यां नास्ति तद्द्रव्यं यद् दत्त्वा चाऽनृणी भवेत् ॥,"['एकमेवाक्षरं', 'यस्तु', 'गुरुः', 'शिष्यं', 'प्रबोधयेत्', '।', 'पृथिव्यां', 'नास्ति', 'तद्द्रव्यं', 'यद्', 'दत्त्वा', 'चाऽनृणी', 'भवेत्', '॥']"
किं करोत्येव पाण्डित्यमस्थाने विनियोजितम् ॥,"['किं', 'करोत्येव', 'पाण्डित्यमस्थाने', 'विनियोजितम्', '॥']"
मन एव मनुष्याणां कारणं बन्धमोक्षयोः ॥,"['मन', 'एव', 'मनुष्याणां', 'कारणं', 'बन्धमोक्षयोः', '॥']"
धनिकः श्रोत्रियो राजा नदी वैद्यस्तु पञ्चमः। पञ्च यत्र न विद्यन्ते न तत्र दिवसे वसेत ॥,"['धनिकः', 'श्रोत्रियो', 'राजा', 'नदी', 'वैद्यस्तु', 'पञ्चमः।', 'पञ्च', 'यत्र', 'न', 'विद्यन्ते', 'न', 'तत्र', 'दिवसे', 'वसेत', '॥']"
स्वभावेन हि तुष्यन्ति देवाः सत्पुरुषाः पिताः। ज्ञातयः स्नानपानाभ्यां वाक्यदानेन पण्डिताः॥,"['स्वभावेन', 'हि', 'तुष्यन्ति', 'देवाः', 'सत्पुरुषाः', 'पिताः।', 'ज्ञातयः', 'स्नानपानाभ्यां', 'वाक्यदानेन', 'पण्डिताः॥']"
किं कुलेन विशालेन विद्याहीने च देहिनाम्। दुष्कुलं चापि विदुषी देवैरपि हि पूज्यते॥,"['किं', 'कुलेन', 'विशालेन', 'विद्याहीने', 'च', 'देहिनाम्।', 'दुष्कुलं', 'चापि', 'विदुषी', 'देवैरपि', 'हि', 'पूज्यते॥']"
पितृपैतामहं राज्यं प्राप्तवान् स्वेन कर्मणा। वायुरभ्रमिवासाद्य भ्रंशयत्यनये स्थितः ॥,"['पितृपैतामहं', 'राज्यं', 'प्राप्तवान्', 'स्वेन', 'कर्मणा।', 'वायुरभ्रमिवासाद्य', 'भ्रंशयत्यनये', 'स्थितः', '॥']"
एकोऽपि गुणवान् पुत्रो निर्गुणैश्च शतैर्वरः। एकश्चन्द्रस्तमो हन्ति न च ताराः सहस्रशः॥,"['एकोऽपि', 'गुणवान्', 'पुत्रो', 'निर्गुणैश्च', 'शतैर्वरः।', 'एकश्चन्द्रस्तमो', 'हन्ति', 'न', 'च', 'ताराः', 'सहस्रशः॥']"
जनिता चोपनेता च यस्तु विद्यां प्रयच्छति। अन्नदाता भयत्राता पञ्चैता पितरः स्मृताः॥,"['जनिता', 'चोपनेता', 'च', 'यस्तु', 'विद्यां', 'प्रयच्छति।', 'अन्नदाता', 'भयत्राता', 'पञ्चैता', 'पितरः', 'स्मृताः॥']"
प्रवृत्तवाक् विचित्रकथ ऊहवान् प्रतिभानवान्। आशु ग्रन्थस्य वक्ता च यः स पण्डित उच्यते ॥,"['प्रवृत्तवाक्', 'विचित्रकथ', 'ऊहवान्', 'प्रतिभानवान्।', 'आशु', 'ग्रन्थस्य', 'वक्ता', 'च', 'यः', 'स', 'पण्डित', 'उच्यते', '॥']"
तृणं ब्रह्मविद स्वर्गं तृणं शूरस्य जीवनम्। जिमाक्षस्य तृणं नारी निःस्पृहस्य तृणं जगत्॥,"['तृणं', 'ब्रह्मविद', 'स्वर्गं', 'तृणं', 'शूरस्य', 'जीवनम्।', 'जिमाक्षस्य', 'तृणं', 'नारी', 'निःस्पृहस्य', 'तृणं', 'जगत्॥']"
अनन्तशास्त्रं बहुलाश्च विद्या अल्पं च कालो बहुविघ्नता च । आसारभूतं तदुपासनीयं हंसो यथा क्षीरमिवाम्बुमध्यात्॥,"['अनन्तशास्त्रं', 'बहुलाश्च', 'विद्या', 'अल्पं', 'च', 'कालो', 'बहुविघ्नता', 'च', '।', 'आसारभूतं', 'तदुपासनीयं', 'हंसो', 'यथा', 'क्षीरमिवाम्बुमध्यात्॥']"
दुर्बलाश्रयो दुःखमावहति ॥,"['दुर्बलाश्रयो', 'दुःखमावहति', '॥']"
न विश्चसेदविश्चस्ते विश्चस्ते नातिविश्चसेत्। विश्चासाद् भयमुत्पन्न मुलान्यपि निकृन्तति ॥,"['न', 'विश्चसेदविश्चस्ते', 'विश्चस्ते', 'नातिविश्चसेत्।', 'विश्चासाद्', 'भयमुत्पन्न', 'मुलान्यपि', 'निकृन्तति', '॥']"
अश्रुतश्च समुत्रद्धो दरिद्रश्य महामनाः। अर्थांश्चाकर्मणा प्रेप्सुर्मूढ इत्युच्यते बुधैः ॥,"['अश्रुतश्च', 'समुत्रद्धो', 'दरिद्रश्य', 'महामनाः।', 'अर्थांश्चाकर्मणा', 'प्रेप्सुर्मूढ', 'इत्युच्यते', 'बुधैः', '॥']"
